Site ,Region,Plot_No,Lichen,Moss,Road_Trail,Rock,Mineral_Soil,Wood,Litter_Duff,LitterDepth1_cm,LitterDepth2_cm
CE_B7_C,MA,486,0,0,0,0,0,2,8,6,5.5
CE_B7_C,MA,484,0,2,0,0,0,2,8,7,5
CE_B7_C,MA,482,0,0,0,0,0,2,8,6,3.5
CE_B7_C,MA,480,0,0,0,0,0,2,8,5,4.5
CE_B7_B,MA,477,0,0,0,0,0,0,8,7,7.5
CE_B7_B,MA,475,1,2,4,0,0,0,7,4,4
CE_B7_B,MA,473,0,0,0,0,0,0,8,6,5.5
CE_B7_B,MA,471,0,0,0,0,0,1,8,7,7.5
CE_B7_B,MA,469,0,0,0,0,1,4,7,7.5,7.5
CE_B7_B,MA,467,0,0,0,0,0,2,8,6,7.5
CE_B7_B,MA,465,0,0,0,0,0,0,8,9,10
CE_B7_B,MA,463,0,0,0,0,0,2,8,6.5,5.5
CE_B7_B,MA,461,0,0,0,0,0,0,8,6,5.5
CE_B7_B,MA,459,0,0,0,0,0,2,8,3.5,4.5
CE_B7_B,MA,457,0,0,0,0,0,0,8,5,4.5
CE_B7_B,MA,455,0,0,0,0,0,2,8,6,7
