Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout,Germinate
TNCO_WB1,NH,248,QUIL,Quercus ilicifolia,3,0,0,0
TNCO_WB1,NH,249,AMSP,Amelanchier spp.,1,0,0,0
TNCO_WB1,NH,250,PIRI,Pinus rigida,1,0,0,0
TNCO_WB1,NH,251,QUIL,Quercus ilicifolia,5,0,0,0
TNCO_WB1,NH,252,AMSP,Amelanchier spp.,5,0,0,0
TNCO_WB1,NH,253,AMSP,Amelanchier spp.,13,3,0,0
TNCO_WB1,NH,253,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_WB1,NH,254,NA,No species found,0,0,0,0
TNCO_WB1,NH,255,PRSP,Prunus sp.,1,0,0,0
TNCO_WB1,NH,256,AMSP,Amelanchier spp.,35,0,0,0
TNCO_ESDB1,NH,957,QUIL,Quercus ilicifolia,4,0,0,0
TNCO_ESDB1,NH,956,NA,No species found,0,0,0,0
TNCO_ESDB1,NH,955,QUIL,Quercus ilicifolia,2,0,0,0
TNCO_ESDB1,NH,954,NA,No species found,0,0,0,0
TNCO_ESDB1,NH,953,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_ESDB1,NH,952,NA,No species found,0,0,0,0
TNCO_ESDB1,NH,951,QUIL,Quercus ilicifolia,5,0,0,0
TNCO_ESDB1,NH,950,QUIL,Quercus ilicifolia,11,0,0,0
TNCO_ESDB1,NH,949,QUIL,Quercus ilicifolia,4,0,0,0
TNCO_ESDB1,NH,948,QUIL,Quercus ilicifolia,2,0,0,0
TNCO_ESDB1,NH,947,QUIL,Quercus ilicifolia,3,0,0,0
TNCO_ESDB1,NH,947,PRSE,Prunus serotina,1,0,0,0
TNCO_ESDB1,NH,946,QUIL,Quercus ilicifolia,7,0,0,0
TNCO_ESDB1,NH,945,QUIL,Quercus ilicifolia,3,0,0,0
TNCO_ESDB1,NH,944,CRSP,Crataegus species,5,0,0,0
TNCO_ESDB1,NH,943,QUIL,Quercus ilicifolia,6,0,0,0
TNCO_ESDB1,NH,942,QUIL,Quercus ilicifolia,6,0,0,0
TNCO_ESDB1,NH,941,QUIL,Quercus ilicifolia,7,0,0,0
TNCO_ESDB1,NH,940,QUIL,Quercus ilicifolia,2,0,0,0
TNCO_ESDB1,NH,939,PRSE,Prunus serotina,2,0,0,0
TNCO_ESDB1,NH,939,QUIL,Quercus ilicifolia,2,0,0,0
