Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout
APB_HuckMound,ALB,781,QUPR,Quercus prinoides,15,0,0
APB_HuckMound,ALB,781,POTR,Populus tremuloides,3,0,0
APB_HuckMound,ALB,781,RHCA,Rhamnus cathartica,1,0,0
APB_HuckMound,ALB,780,QUIL,Quercus ilicifolia,4,0,0
APB_HuckMound,ALB,780,QUPR,Quercus prinoides,5,0,0
APB_HuckMound,ALB,779,QUPR,Quercus prinoides,47,0,0
APB_HuckMound,ALB,778,QUIL,Quercus ilicifolia,12,0,0
APB_HuckMound,ALB,778,QUPR,Quercus prinoides,27,0,0
APB_HuckMound,ALB,778,AMSP,Amelanchier spp.,1,0,0
APB_HuckMound,ALB,777,PRSE,Prunus serotina,1,0,0
APB_HuckMound,ALB,777,QUPR,Quercus prinoides,1,0,0
APB_HuckMound,ALB,777,QUIL,Quercus ilicifolia,30,0,0
APB_HuckMound,ALB,776,PRSE,Prunus serotina,2,0,0
APB_HuckMound,ALB,776,QUIL,Quercus ilicifolia,1,0,0
APB_HuckMound,ALB,776,QUPR,Quercus prinoides,34,0,0
APB_HuckMound,ALB,776,SAAL,Sassafras albidum,2,0,0
APB_HuckMound,ALB,775,QUPR,Quercus prinoides,49,0,0
APB_HuckMound,ALB,775,SAAL,Sassafras albidum,4,0,0
APB_HuckMound,ALB,775,QUIL,Quercus ilicifolia,8,0,0
APB_HuckMound,ALB,774,QUPR,Quercus prinoides,37,0,0
APB_HuckMound,ALB,774,QUIL,Quercus ilicifolia,11,0,0
APB_HuckMound,ALB,773,QUPR,Quercus prinoides,5,0,0
APB_HuckMound,ALB,773,QUIL,Quercus ilicifolia,1,0,0
APB_Fowlers,ALB,818,QUPR,Quercus prinoides,4,0,0
APB_Fowlers,ALB,818,ROPS,Robinia pseudoacacia,2,0,0
APB_Fowlers,ALB,818,QUIL,Quercus ilicifolia,18,0,0
APB_Fowlers,ALB,817,QUIL,Quercus ilicifolia,11,0,0
APB_Fowlers,ALB,817,QUPR,Quercus prinoides,5,0,0
APB_Fowlers,ALB,817,ROPS,Robinia pseudoacacia,1,0,0
APB_Fowlers,ALB,816,QUIL,Quercus ilicifolia,10,0,0
APB_Fowlers,ALB,816,QUPR,Quercus prinoides,1,0,0
APB_Fowlers,ALB,816,ROPS,Robinia pseudoacacia,1,0,0
APB_Fowlers,ALB,815,ROPS,Robinia pseudoacacia,19,0,0
APB_Fowlers,ALB,815,QUIL,Quercus ilicifolia,2,0,0
APB_Fowlers,ALB,815,QUPR,Quercus prinoides,2,0,0
APB_Fowlers,ALB,814,QUCO,Quercus coccinea,1,0,0
APB_Fowlers,ALB,814,ACRU,Acer rubrum,2,2,0
APB_Fowlers,ALB,813,NA,No species found,0,0,0
APB_Fowlers,ALB,812,ROPS,Robinia pseudoacacia,1,0,0
APB_Fowlers,ALB,811,QUVE,Quercus velutina,1,0,0
APB_Fowlers,ALB,811,QUIL,Quercus ilicifolia,6,0,0
APB_Fowlers,ALB,811,QUPR,Quercus prinoides,4,0,0
APB_Fowlers,ALB,810,QUIL,Quercus ilicifolia,9,0,0
APB_Fowlers,ALB,810,QUPR,Quercus prinoides,1,0,0
APB_Fowlers,ALB,810,ROPS,Robinia pseudoacacia,12,4,0
APB_Fowlers,ALB,810,PRSE,Prunus serotina,1,0,0
APB_Fowlers,ALB,810,FRAL,Frangula alnus,2,0,0
APB_Fowlers,ALB,809,QUIL,Quercus ilicifolia,16,0,0
APB_Fowlers,ALB,809,QUVE,Quercus velutina,1,0,0
APB_Fowlers,ALB,808,QUIL,Quercus ilicifolia,25,0,0
APB_Fowlers,ALB,807,SAAL,Sassafras albidum,2,0,0
APB_Fowlers,ALB,807,ROPS,Robinia pseudoacacia,2,0,0
APB_Fowlers,ALB,806,PRVI,Prunus virginiana,1,0,0
APB_Fowlers,ALB,805,QUIL,Quercus ilicifolia,10,0,0
APB_Fowlers,ALB,805,QUCO,Quercus coccinea,2,0,0
APB_Fowlers,ALB,804,NA,No species found,0,0,0
APB_Fowlers,ALB,803,NA,No species found,0,0,0
APB_Fowlers,ALB,802,POTR,Populus tremuloides,2,0,0
APB_Fowlers,ALB,801,BEPO,Betula populifolia,5,0,0
APB_Fowlers,ALB,801,QUCO,Quercus coccinea,3,0,0
APB_Fowlers,ALB,801,QUIL,Quercus ilicifolia,2,0,0
APB_Fowlers,ALB,801,PIRI,Pinus rigida,1,1,0
APB_Fowlers,ALB,801,ROPS,Robinia pseudoacacia,1,0,0
APB_Fowlers,ALB,801,QUPR,Quercus prinoides,3,0,0
APB_Fowlers,ALB,800,QUPR,Quercus prinoides,9,0,0
APB_Fowlers,ALB,800,QUIL,Quercus ilicifolia,39,0,0
APB_Fowlers,ALB,800,ROPS,Robinia pseudoacacia,1,0,0
APB_Fowlers,ALB,799,ROPS,Robinia pseudoacacia,2,2,0
APB_Fowlers,ALB,798,NA,No species found,0,0,0
APB_Fowlers,ALB,797,QUIL,Quercus ilicifolia,5,0,0
APB_Fowlers,ALB,797,PRSE,Prunus serotina,1,0,0
APB_Fowlers,ALB,796,QUIL,Quercus ilicifolia,33,0,0
APB_Fowlers,ALB,796,ROPS,Robinia pseudoacacia,1,0,0
CE_B7_D,MA,523,PRSE,Prunus serotina,2,0,2
CE_B7_D,MA,523,QUCO,Quercus coccinea,1,0,0
CE_B7_D,MA,523,QUIL,Quercus ilicifolia,12,0,0
CE_B7_D,MA,522,QUIL,Quercus ilicifolia,30,0,0
CE_B7_D,MA,522,QUCO,Quercus coccinea,5,3,4
CE_B7_D,MA,522,AMSP,Amelanchier spp.,1,0,0
CE_B7_D,MA,522,SAAL,Sassafras albidum,1,0,0
CE_B7_D,MA,521,QUIL,Quercus ilicifolia,4,0,0
CE_B7_D,MA,520,QUIL,Quercus ilicifolia,5,0,0
CE_B7_D,MA,519,QUIL,Quercus ilicifolia,10,0,0
CE_B7_D,MA,519,QUCO,Quercus coccinea,1,0,0
CE_B7_D,MA,518,NA,No species found,0,0,0
CE_B7_D,MA,517,SAAL,Sassafras albidum,2,0,0
CE_B7_D,MA,516,QUIL,Quercus ilicifolia,13,0,0
CE_B7_D,MA,516,QUCO,Quercus coccinea,3,0,0
CE_B7_D,MA,515,QUCO,Quercus coccinea,1,0,0
CE_B7_D,MA,515,QUIL,Quercus ilicifolia,35,0,0
CE_B7_D,MA,514,QUIL,Quercus ilicifolia,17,0,0
CE_B7_D,MA,514,QUAL,Quercus alba,1,0,0
CE_B7_D,MA,514,QUPR,Quercus prinoides,3,0,0
CE_B7_D,MA,513,QUPR,Quercus prinoides,1,0,0
CE_B7_D,MA,513,QUIL,Quercus ilicifolia,18,0,0
CE_B7_D,MA,512,QUIL,Quercus ilicifolia,20,0,0
CE_B7_D,MA,512,QUCO,Quercus coccinea,1,0,0
CE_B7_D,MA,511,QUIL,Quercus ilicifolia,37,0,0
CE_B7_D,MA,511,QUPR,Quercus prinoides,3,0,0
CE_B7_D,MA,510,QUIL,Quercus ilicifolia,26,0,0
