Site,Region,Plot_No,Species_Code,Latin_Name,Live_Total,Dead_Total
APB_Alleycat,ALB,860,PIRI,Pinus rigida,6,0
APB_Alleycat,ALB,859,PIRI,Pinus rigida,9,0
APB_Alleycat,ALB,858,PIRI,Pinus rigida,1,0
APB_Alleycat,ALB,857,NA,No species found,0,0
APB_Alleycat,ALB,856,PIRI,Pinus rigida,1,0
APB_Alleycat,ALB,855,PIRI,Pinus rigida,4,0
APB_Alleycat,ALB,855,PRSE,Prunus serotina,4,0
APB_Alleycat,ALB,854,PIRI,Pinus rigida,2,1
APB_Alleycat,ALB,853,PIRI,Pinus rigida,3,0
APB_Alleycat,ALB,852,NA,No species found,0,0
APB_Alleycat,ALB,851,NA,No species found,0,0
APB_Alleycat,ALB,850,NA,No species found,0,0
APB_Alleycat,ALB,849,NA,No species found,0,0
APB_Alleycat,ALB,848,NA,No species found,0,0
APB_Alleycat,ALB,847,NA,No species found,0,0
APB_Alleycat,ALB,846,NA,No species found,0,0
APB_Alleycat,ALB,845,NA,No species found,0,0
APB_Alleycat,ALB,844,NA,No species found,0,0
APB_Alleycat,ALB,843,NA,No species found,0,0
CE_BA3,MA,590,PIRI,Pinus rigida,5,0
CE_BA3,MA,590,QUCO,Quercus coccinea,1,0
CE_BA3,MA,589,PIRI,Pinus rigida,1,0
CE_BA3,MA,588,PIRI,Pinus rigida,5,0
CE_BA3,MA,587,QUCO,Quercus coccinea,6,1
CE_BA3,MA,587,PIRI,Pinus rigida,2,0
CE_BA3,MA,586,QUAL,Quercus alba,2,0
CE_BA3,MA,586,PIRI,Pinus rigida,5,0
CE_BA3,MA,585,PIRI,Pinus rigida,8,0
CE_BA3,MA,585,QUCO,Quercus coccinea,1,0
CE_BA3,MA,584,QUCO,Quercus coccinea,3,0
CE_BA3,MA,584,PIRI,Pinus rigida,5,0
CE_BA3,MA,584,QUAL,Quercus alba,1,0
CE_BA3,MA,583,PIRI,Pinus rigida,10,0
CE_BA3,MA,582,PIRI,Pinus rigida,13,0
CE_BA3,MA,582,PIST,Pinus strobus,1,0
CE_BA3,MA,581,PIRI,Pinus rigida,9,1
CE_BA3,MA,580,PIRI,Pinus rigida,6,0
CE_BA3,MA,579,PIRI,Pinus rigida,6,0
CE_BA3,MA,579,QUAL,Quercus alba,1,0
CE_BA3,MA,578,PIRI,Pinus rigida,7,0
CE_BA3,MA,578,QUAL,Quercus alba,1,0
CE_BA3,MA,577,PIRI,Pinus rigida,9,0
CE_BA3,MA,576,PIRI,Pinus rigida,7,0
CE_BA3,MA,575,PIRI,Pinus rigida,9,0
CE_BA3,MA,574,QUCO,Quercus coccinea,3,0
CE_BA3,MA,574,PIRI,Pinus rigida,4,0
CE_BA3,MA,574,QUAL,Quercus alba,1,0
CE_BA3,MA,573,PIRI,Pinus rigida,9,0
CE_BA3,MA,573,QUAL,Quercus alba,1,0
CE_BA3,MA,572,PIRI,Pinus rigida,10,0
CE_BA3,MA,571,PIRI,Pinus rigida,7,0
CE_BA3,MA,570,PIRI,Pinus rigida,1,0
CE_SWB_S,MA,430,QUAL,Quercus alba,1,0
CE_SWB_S,MA,430,PIRI,Pinus rigida,1,1
CE_SWB_S,MA,429,QUAL,Quercus alba,3,0
CE_SWB_S,MA,428,QUAL,Quercus alba,2,0
CE_SWB_S,MA,428,PIRI,Pinus rigida,2,0
CE_SWB_S,MA,427,QUAL,Quercus alba,1,0
CE_SWB_S,MA,427,PIRI,Pinus rigida,2,0
CE_SWB_S,MA,426,PIRI,Pinus rigida,3,0
CE_SWB_S,MA,425,PIRI,Pinus rigida,2,0
CE_SWB_S,MA,424,PIRI,Pinus rigida,3,0
CE_SWB_S,MA,423,PIRI,Pinus rigida,3,0
CE_SWB_S,MA,423,QUAL,Quercus alba,2,0
CE_SWB_S,MA,422,QUAL,Quercus alba,2,0
CE_SWB_S,MA,422,PIRI,Pinus rigida,2,0
CE_SWB_S,MA,421,PIRI,Pinus rigida,4,0
CE_SWB_S,MA,421,QUCO,Quercus coccinea,2,0
CE_SWB_S,MA,420,QUAL,Quercus alba,1,0
CE_SWB_S,MA,420,PIRI,Pinus rigida,1,0
CE_SWB_S,MA,419,PIRI,Pinus rigida,1,0
CE_SWB_S,MA,419,QUCO,Quercus coccinea,1,0
CE_SWB_S,MA,418,PIRI,Pinus rigida,2,0
CE_SWB_S,MA,418,QUAL,Quercus alba,1,0
CE_SWB_S,MA,417,NA,No species found,0,0
CE_SWB_S,MA,416,QUAL,Quercus alba,1,0
CE_SWB_S,MA,416,QUCO,Quercus coccinea,1,0
CE_SWB_S,MA,415,PIRI,Pinus rigida,1,0
CE_SWB_S,MA,415,QUCO,Quercus coccinea,1,0
CE_SWB_S,MA,414,QUCO,Quercus coccinea,1,0
CE_SWB_S,MA,414,PIRI,Pinus rigida,1,0
CE_SWB_S,MA,413,QUCO,Quercus coccinea,1,0
CE_SWB_S,MA,413,PIRI,Pinus rigida,4,0
CE_SWB_S,MA,412,QUAL,Quercus alba,2,0
CE_SWB_S,MA,412,PIRI,Pinus rigida,0,1
CE_SWB_S,MA,411,PIRI,Pinus rigida,3,0
CE_SWB_S,MA,411,QUAL,Quercus alba,1,0
CE_SWB_S,MA,410,PIRI,Pinus rigida,1,0
CE_SWB_S,MA,410,QUAL,Quercus alba,1,0
CE_SWB_S,MA,409,PIRI,Pinus rigida,3,0
CE_SWB_S,MA,409,QUAL,Quercus alba,1,0
CE_SWB_S,MA,409,QUCO,Quercus coccinea,2,0
CE_SWB_S,MA,408,PIRI,Pinus rigida,2,0
CE_SWB_S,MA,408,QUAL,Quercus alba,3,0
CE_SWB_N,MA,453,NA,No species found,0,0
CE_SWB_N,MA,452,NA,No species found,0,0
CE_SWB_N,MA,451,PIRI,Pinus rigida,0,1
CE_SWB_N,MA,450,NA,No species found,0,0
CE_SWB_N,MA,449,NA,No species found,0,0
CE_SWB_N,MA,448,NA,No species found,0,0
CE_SWB_N,MA,447,NA,No species found,0,0
CE_SWB_N,MA,446,QUAL,Quercus alba,0,1
CE_SWB_N,MA,445,NA,No species found,0,0
CE_SWB_N,MA,444,PIRI,Pinus rigida,2,0
CE_SWB_N,MA,443,NA,No species found,0,0
CE_SWB_N,MA,442,NA,No species found,0,0
CE_SWB_N,MA,441,NA,No species found,0,0
CE_SWB_N,MA,440,PIRI,Pinus rigida,1,0
CE_SWB_N,MA,439,NA,No species found,0,0
CE_SWB_N,MA,438,NA,No species found,0,0
CE_SWB_N,MA,437,PIRI,Pinus rigida,3,0
CE_SWB_N,MA,436,NA,No species found,0,0
CE_SWB_N,MA,435,PIRI,Pinus rigida,1,0
CE_SWB_N,MA,434,NA,No species found,0,0
CE_SWB_N,MA,433,NA,No species found,0,0
CE_SWB_N,MA,432,PIRI,Pinus rigida,2,0
CE_SWB_N,MA,431,PIRI,Pinus rigida,4,2
TNCO_ESDB2,NH,281,PIRI,Pinus rigida,2,0
TNCO_ESDB2,NH,282,PIRI,Pinus rigida,4,0
TNCO_ESDB2,NH,283,PIRI,Pinus rigida,6,0
TNCO_ESDB2,NH,284,PIRI,Pinus rigida,4,0
TNCO_ESDB2,NH,285,PIRI,Pinus rigida,2,0
TNCO_ESDB2,NH,286,PIRI,Pinus rigida,3,0
TNCO_ESDB2,NH,287,PIRI,Pinus rigida,2,0
TNCO_ESDB2,NH,288,PIRI,Pinus rigida,4,0
TNCO_ESDB2,NH,289,PIRI,Pinus rigida,3,0
TNCO_ESDB2,NH,290,PIRI,Pinus rigida,5,0
TNCO_ESDB2,NH,291,PIRI,Pinus rigida,3,0
TNCO_ESDB2,NH,292,PIRI,Pinus rigida,2,0
TNCO_ESDB2,NH,293,PIRI,Pinus rigida,3,0
TNCO_ESDB2,NH,294,PIRI,Pinus rigida,4,0
TNCO_ESDB2,NH,295,PIRI,Pinus rigida,1,0
TNCO_ESDB2,NH,296,PIRI,Pinus rigida,4,0
TNCO_ESDB2,NH,297,PIRI,Pinus rigida,5,0
TNCO_ESDB2,NH,298,PIRI,Pinus rigida,3,0
TNCO_ESDB2,NH,299,PIRI,Pinus rigida,3,0
TNCO_ESDB2,NH,300,PIRI,Pinus rigida,1,0
TNCO_ESDB2,NH,300,PIST,Pinus strobus,2,0
TNCO_ESDB2,NH,301,PIRI,Pinus rigida,4,0
TNCO_ESDB2,NH,301,PIST,Pinus strobus,1,0
TNCO_ESDB2,NH,302,PIRI,Pinus rigida,2,0
TNCO_ESDB2,NH,302,PIST,Pinus strobus,1,0
TNCO_ESDB2,NH,303,NA,No species found,0,0
TNCO_WB1,NH,236,PIRI,Pinus rigida,7,0
TNCO_WB1,NH,237,PIRI,Pinus rigida,8,0
TNCO_WB1,NH,237,PIST,Pinus strobus,3,0
TNCO_WB1,NH,238,PIRI,Pinus rigida,8,0
TNCO_WB1,NH,238,PIST,Pinus strobus,2,0
TNCO_WB1,NH,239,PIRI,Pinus rigida,10,0
TNCO_WB1,NH,239,PIST,Pinus strobus,1,0
TNCO_WB1,NH,240,PIST,Pinus strobus,1,0
TNCO_WB1,NH,240,PIRI,Pinus rigida,1,0
TNCO_WB1,NH,241,PIRI,Pinus rigida,7,0
TNCO_WB1,NH,242,PIRI,Pinus rigida,5,0
TNCO_WB1,NH,243,PIRI,Pinus rigida,3,0
TNCO_WB1,NH,244,PIRI,Pinus rigida,7,0
TNCO_WB1,NH,245,PIRI,Pinus rigida,13,0
TNCO_WB1,NH,246,PIRI,Pinus rigida,8,0
TNCO_WB1,NH,246,PIST,Pinus strobus,1,0
TNCO_WB1,NH,247,PIST,Pinus strobus,1,0
TNCO_WB1,NH,247,PIRI,Pinus rigida,2,0
TNCO_WB1,NH,248,PIST,Pinus strobus,1,0
TNCO_WB1,NH,248,PIRI,Pinus rigida,8,0
TNCO_WB1,NH,249,PIRI,Pinus rigida,9,0
TNCO_WB1,NH,250,PIRI,Pinus rigida,8,0
TNCO_WB1,NH,250,PIST,Pinus strobus,1,0
TNCO_WB1,NH,251,PIRI,Pinus rigida,2,0
TNCO_WB1,NH,251,PIST,Pinus strobus,0,1
TNCO_WB1,NH,252,PIRI,Pinus rigida,9,0
TNCO_WB1,NH,253,PIRI,Pinus rigida,4,0
TNCO_WB1,NH,254,PIRI,Pinus rigida,4,0
TNCO_WB1,NH,255,PIRI,Pinus rigida,2,1
TNCO_WB1,NH,256,PIRI,Pinus rigida,2,0
TNCO_ESDB1,NH,957,NA,No species found,0,0
TNCO_ESDB1,NH,956,NA,No species found,0,0
TNCO_ESDB1,NH,955,NA,No species found,0,0
