Site,Region,Plot_No,Species_Code,Latin_Name,SP_Total_Cover
TNCO_Hobbs5,NH,967,GAPR,Gaultheria procumbens,3
TNCO_Hobbs5,NH,967,VAAN,Vaccinium angustifolium,3
TNCO_Hobbs5,NH,967,PTAQ,Pteridium aquilinum,4
TNCO_Hobbs5,NH,967,CAPE,Carex pensylvanica,4
TNCO_Hobbs5,NH,965,PIRI,Pinus rigida,1
TNCO_Hobbs5,NH,965,ACRU,Acer rubrum,2
TNCO_Hobbs5,NH,965,PTAQ,Pteridium aquilinum,4
TNCO_Hobbs5,NH,965,GAPR,Gaultheria procumbens,5
TNCO_Hobbs5,NH,965,VAAN,Vaccinium angustifolium,4
TNCO_Hobbs5,NH,965,CAPE,Carex pensylvanica,3
TNCO_Hobbs5,NH,965,COPE,Comptonia peregrina,1
TNCO_Hobbs5,NH,965,KAAN,Kalmia angustifolium,2
TNCO_Hobbs5,NH,963,QUIL,Quercus ilicifolia,4
TNCO_Hobbs5,NH,963,ACRU,Acer rubrum,1
TNCO_Hobbs5,NH,963,VAAN,Vaccinium angustifolium,4
TNCO_Hobbs5,NH,963,KAAN,Kalmia angustifolium,4
TNCO_Hobbs5,NH,963,CAPE,Carex pensylvanica,3
TNCO_Hobbs5,NH,963,GAPR,Gaultheria procumbens,4
TNCO_Hobbs5,NH,963,LYBO,Lysimachia borealis,2
TNCO_Hobbs5,NH,963,PTAQ,Pteridium aquilinum,4
TNCO_Hobbs5,NH,961,PIRI,Pinus rigida,2
TNCO_Hobbs5,NH,961,VAAN,Vaccinium angustifolium,3
TNCO_Hobbs5,NH,961,CAPE,Carex pensylvanica,2
TNCO_Hobbs5,NH,961,COPE,Comptonia peregrina,6
TNCO_Hobbs5,NH,961,GAPR,Gaultheria procumbens,1
TNCO_Hobbs5,NH,961,PTAQ,Pteridium aquilinum,4
TNCO_Hobbs5,NH,959,VAAN,Vaccinium angustifolium,4
TNCO_Hobbs5,NH,959,ACRU,Acer rubrum,1
TNCO_Hobbs5,NH,959,GAPR,Gaultheria procumbens,4
TNCO_Hobbs5,NH,959,KAAN,Kalmia angustifolium,3
TNCO_Hobbs5,NH,959,GABA,Gaylussacia baccata,4
TNCO_Hobbs5,NH,959,PTAQ,Pteridium aquilinum,3
TNCO_Hobbs5,NH,959,MELI,Melampyrum lineare,1
SPNHF_Harmon,NH,1143,QUIL,Quercus ilicifolia,2
SPNHF_Harmon,NH,1143,VAAN,Vaccinium angustifolium,3
SPNHF_Harmon,NH,1143,VAMY,Vaccinium myrtilloides,5
SPNHF_Harmon,NH,1143,GAPR,Gaultheria procumbens,6
SPNHF_Harmon,NH,1141,QUIL,Quercus ilicifolia,3
SPNHF_Harmon,NH,1141,VAAN,Vaccinium angustifolium,5
SPNHF_Harmon,NH,1141,CAPE,Carex pensylvanica,2
SPNHF_Harmon,NH,1141,PTAQ,Pteridium aquilinum,3
SPNHF_Harmon,NH,1141,GAPR,Gaultheria procumbens,3
SPNHF_Harmon,NH,1141,VINU,Viburnum nudum var cassinoides,2
SPNHF_Harmon,NH,1139,VAAN,Vaccinium angustifolium,6
SPNHF_Harmon,NH,1139,PTAQ,Pteridium aquilinum,4
SPNHF_Harmon,NH,1139,CAPE,Carex pensylvanica,2
SPNHF_Harmon,NH,1139,GAPR,Gaultheria procumbens,3
SPNHF_Harmon,NH,1139,LYBO,Lysimachia borealis,1
SPNHF_Harmon,NH,1137,QUIL,Quercus ilicifolia,5
SPNHF_Harmon,NH,1137,ACRU,Acer rubrum,5
SPNHF_Harmon,NH,1137,VAAN,Vaccinium angustifolium,3
SPNHF_Harmon,NH,1137,CAPE,Carex pensylvanica,2
SPNHF_Harmon,NH,1137,GAPR,Gaultheria procumbens,4
SPNHF_Harmon,NH,1137,PTAQ,Pteridium aquilinum,6
SPNHF_Harmon,NH,1137,VAMY,Vaccinium myrtilloides,3
SPNHF_Harmon,NH,1135,QUIL,Quercus ilicifolia,2
SPNHF_Harmon,NH,1135,ACRU,Acer rubrum,1
SPNHF_Harmon,NH,1135,PTAQ,Pteridium aquilinum,3
SPNHF_Harmon,NH,1135,VAAN,Vaccinium angustifolium,5
SPNHF_Harmon,NH,1135,GAPR,Gaultheria procumbens,3
SPNHF_Harmon,NH,1135,CAPE,Carex pensylvanica,3
SPNHF_Harmon,NH,1135,MELI,Melampyrum lineare,1
SPNHF_Harmon,NH,1133,QUIL,Quercus ilicifolia,3
SPNHF_Harmon,NH,1133,ACRU,Acer rubrum,2
SPNHF_Harmon,NH,1133,PTAQ,Pteridium aquilinum,5
SPNHF_Harmon,NH,1133,VAAN,Vaccinium angustifolium,4
SPNHF_Harmon,NH,1133,GAPR,Gaultheria procumbens,4
SPNHF_Harmon,NH,1133,ARME,Aronia melanocarpa,2
SPNHF_Harmon,NH,1133,VAMY,Vaccinium myrtilloides,2
SPNHF_Harmon,NH,1133,COPE,Comptonia peregrina,2
SPNHF_Harmon,NH,1131,ARME,Aronia melanocarpa,2
SPNHF_Harmon,NH,1131,PTAQ,Pteridium aquilinum,5
SPNHF_Harmon,NH,1131,CAPE,Carex pensylvanica,3
SPNHF_Harmon,NH,1131,COPE,Comptonia peregrina,3
SPNHF_Harmon,NH,1131,VAAN,Vaccinium angustifolium,3
SPNHF_Harmon,NH,1131,GAPR,Gaultheria procumbens,3
SPNHF_Harmon,NH,1131,ACRU,Acer rubrum,2
SPNHF_Harmon,NH,1129,ARME,Aronia melanocarpa,1
SPNHF_Harmon,NH,1129,GABA,Gaylussacia baccata,5
SPNHF_Harmon,NH,1129,VAAN,Vaccinium angustifolium,3
SPNHF_Harmon,NH,1129,PTAQ,Pteridium aquilinum,5
SPNHF_Harmon,NH,1129,GAPR,Gaultheria procumbens,2
SPNHF_Harmon,NH,1127,QUIL,Quercus ilicifolia,5
SPNHF_Harmon,NH,1127,PTAQ,Pteridium aquilinum,6
SPNHF_Harmon,NH,1127,VAAN,Vaccinium angustifolium,5
SPNHF_Harmon,NH,1127,GAPR,Gaultheria procumbens,8
SPNHF_Harmon,NH,1125,QUIL,Quercus ilicifolia,4
SPNHF_Harmon,NH,1125,VAAN,Vaccinium angustifolium,4
SPNHF_Harmon,NH,1125,GAPR,Gaultheria procumbens,2
SPNHF_Harmon,NH,1125,ACRU,Acer rubrum,5
SPNHF_Harmon,NH,1123,QUIL,Quercus ilicifolia,3
SPNHF_Harmon,NH,1123,PTAQ,Pteridium aquilinum,5
SPNHF_Harmon,NH,1123,VAAN,Vaccinium angustifolium,7
SPNHF_Harmon,NH,1123,GAPR,Gaultheria procumbens,4
SPNHF_Harmon,NH,1123,COPE,Comptonia peregrina,2
SPNHF_Harmon,NH,1121,QUIL,Quercus ilicifolia,6
SPNHF_Harmon,NH,1121,COPE,Comptonia peregrina,2
SPNHF_Harmon,NH,1121,VAAN,Vaccinium angustifolium,3
SPNHF_Harmon,NH,1121,KAAN,Kalmia angustifolium,3
SPNHF_Harmon,NH,1121,MELI,Melampyrum lineare,1
SPNHF_Harmon,NH,1121,LYBO,Lysimachia borealis,1
SPNHF_Harmon,NH,1121,GAPR,Gaultheria procumbens,4
SPNHF_Harmon,NH,1121,CAPE,Carex pensylvanica,1
TNCW_7SW,ME,1008,QUIL,Quercus ilicifolia,6
TNCW_7SW,ME,1008,VAAN,Vaccinium angustifolium,3
TNCW_7SW,ME,1008,CAPE,Carex pensylvanica,2
TNCW_7SW,ME,1006,PIST,Pinus strobus,1
TNCW_7SW,ME,1006,QUIL,Quercus ilicifolia,5
TNCW_7SW,ME,1006,LYBO,Lysimachia borealis,2
TNCW_7SW,ME,1006,GAPR,Gaultheria procumbens,2
TNCW_7SW,ME,1006,CAPE,Carex pensylvanica,2
TNCW_7SW,ME,1006,VAMY,Vaccinium myrtilloides,4
TNCW_7SW,ME,1006,BEPO,Betula populifolia,3
TNCW_7SW,ME,1006,ACRU,Acer rubrum,1
TNCW_7SW,ME,1004,QUIL,Quercus ilicifolia,6
TNCW_7SW,ME,1004,ACRU,Acer rubrum,1
TNCW_7SW,ME,1004,BEPO,Betula populifolia,1
TNCW_7SW,ME,1004,VAAN,Vaccinium angustifolium,4
