Site,Region,Plot_No,Species_Code,Latin_Name,DBH(cm),Browse,Other_damage
APB_Bivy,ALB,737,NA,No species found,0.0,,
APB_Bivy,ALB,736,NA,No species found,0.0,,
APB_Bivy,ALB,735,NA,No species found,0.0,,
APB_Bivy,ALB,734,NA,No species found,0.0,,
APB_Bivy,ALB,733,NA,No species found,0.0,,
APB_Bivy,ALB,732,NA,No species found,0.0,,
APB_Bivy,ALB,731,NA,No species found,0.0,,
APB_Bivy,ALB,730,NA,No species found,0.0,,
APB_Bivy,ALB,729,NA,No species found,0.0,,
APB_Alleycat,ALB,866,NA,No species found,0.0,,
APB_Alleycat,ALB,865,NA,No species found,0.0,,
APB_Alleycat,ALB,864,NA,No species found,0.0,,
APB_Alleycat,ALB,863,NA,No species found,0.0,,
APB_Alleycat,ALB,862,NA,No species found,0.0,,
APB_Alleycat,ALB,861,NA,No species found,0.0,,
APB_Alleycat,ALB,860,NA,No species found,0.0,,
APB_Alleycat,ALB,859,NA,No species found,0.0,,
APB_Alleycat,ALB,858,NA,No species found,0.0,,
APB_Alleycat,ALB,857,NA,No species found,0.0,,
APB_Alleycat,ALB,856,NA,No species found,0.0,,
APB_Alleycat,ALB,855,NA,No species found,0.0,,
APB_Alleycat,ALB,854,NA,No species found,0.0,,
APB_Alleycat,ALB,853,NA,No species found,0.0,,
APB_Alleycat,ALB,852,NA,No species found,0.0,,
APB_Alleycat,ALB,851,NA,No species found,0.0,,
APB_Alleycat,ALB,850,NA,No species found,0.0,,
APB_Alleycat,ALB,849,NA,No species found,0.0,,
APB_Alleycat,ALB,848,NA,No species found,0.0,,
APB_Alleycat,ALB,847,NA,No species found,0.0,,
APB_Alleycat,ALB,846,NA,No species found,0.0,,
APB_Alleycat,ALB,845,NA,No species found,0.0,,
APB_Alleycat,ALB,844,NA,No species found,0.0,,
APB_Alleycat,ALB,843,NA,No species found,0.0,,
CE_BA3,MA,590,NA,No species found,0.0,,
CE_BA3,MA,589,NA,No species found,0.0,,
CE_BA3,MA,588,QUAL,Quercus alba,3.3,,
CE_BA3,MA,587,NA,No species found,0.0,,
CE_BA3,MA,586,QUVE,Quercus velutina,4.3,,
CE_BA3,MA,585,NA,No species found,0.0,,
CE_BA3,MA,584,NA,No species found,0.0,,
CE_BA3,MA,583,NA,No species found,0.0,,
CE_BA3,MA,582,QUAL,Quercus alba,8.6,,
CE_BA3,MA,581,PIRI,Pinus rigida,4.3,,DYING
CE_BA3,MA,580,NA,No species found,0.0,,
CE_BA3,MA,579,NA,No species found,0.0,,
CE_BA3,MA,578,NA,No species found,0.0,,
CE_BA3,MA,577,NA,No species found,0.0,,
CE_BA3,MA,576,NA,No species found,0.0,,
CE_BA3,MA,575,NA,No species found,0.0,,
CE_BA3,MA,574,NA,No species found,0.0,,
CE_BA3,MA,573,NA,No species found,0.0,,
CE_BA3,MA,572,NA,No species found,0.0,,
CE_BA3,MA,571,NA,No species found,0.0,,
CE_BA3,MA,570,NA,No species found,0.0,,
CE_SWB_S,MA,430,NA,No species found,0.0,,
CE_SWB_S,MA,429,QUCO,Quercus coccinea,2.7,,
CE_SWB_S,MA,429,QUCO,Quercus coccinea,3.4,,
CE_SWB_S,MA,428,NA,No species found,0.0,,
CE_SWB_S,MA,427,NA,No species found,0.0,,
CE_SWB_S,MA,426,NA,No species found,0.0,,
CE_SWB_S,MA,425,NA,No species found,0.0,,
CE_SWB_S,MA,424,NA,No species found,0.0,,
CE_SWB_S,MA,423,NA,No species found,0.0,,
CE_SWB_S,MA,422,NA,No species found,0.0,,
CE_SWB_S,MA,421,NA,No species found,0.0,,
CE_SWB_S,MA,420,NA,No species found,0.0,,
CE_SWB_S,MA,419,QUAL,Quercus alba,3.1,,STUMP SPROUT
CE_SWB_S,MA,418,NA,No species found,0.0,,
CE_SWB_S,MA,417,NA,No species found,0.0,,
CE_SWB_S,MA,416,NA,No species found,0.0,,
CE_SWB_S,MA,415,NA,No species found,0.0,,
CE_SWB_S,MA,414,NA,No species found,0.0,,
CE_SWB_S,MA,413,NA,No species found,0.0,,
CE_SWB_S,MA,412,NA,No species found,0.0,,
CE_SWB_S,MA,411,QUAL,Quercus alba,4.3,,STUMP SPROUT
CE_SWB_S,MA,411,QUAL,Quercus alba,3.4,,STUMP SPROUT
CE_SWB_S,MA,410,QUAL,Quercus alba,2.6,,
CE_SWB_S,MA,410,QUAL,Quercus alba,5.3,,
CE_SWB_S,MA,409,NA,No species found,0.0,,
CE_SWB_S,MA,408,NA,No species found,0.0,,
CE_SWB_N,MA,453,NA,No species found,0.0,,
CE_SWB_N,MA,452,NA,No species found,0.0,,
CE_SWB_N,MA,451,NA,No species found,0.0,,
CE_SWB_N,MA,450,NA,No species found,0.0,,
CE_SWB_N,MA,449,PIRI,Pinus rigida,3.7,,
CE_SWB_N,MA,448,NA,No species found,0.0,,
CE_SWB_N,MA,447,NA,No species found,0.0,,
CE_SWB_N,MA,446,NA,No species found,0.0,,
CE_SWB_N,MA,445,NA,No species found,0.0,,
CE_SWB_N,MA,444,NA,No species found,0.0,,
CE_SWB_N,MA,443,NA,No species found,0.0,,
CE_SWB_N,MA,442,NA,No species found,0.0,,
CE_SWB_N,MA,441,NA,No species found,0.0,,
CE_SWB_N,MA,440,NA,No species found,0.0,,
CE_SWB_N,MA,439,NA,No species found,0.0,,
CE_SWB_N,MA,438,NA,No species found,0.0,,
CE_SWB_N,MA,437,NA,No species found,0.0,,
CE_SWB_N,MA,436,NA,No species found,0.0,,
CE_SWB_N,MA,435,NA,No species found,0.0,,
CE_SWB_N,MA,434,NA,No species found,0.0,,
CE_SWB_N,MA,433,NA,No species found,0.0,,
CE_SWB_N,MA,432,NA,No species found,0.0,,
CE_SWB_N,MA,431,NA,No species found,0.0,,
